09:05:38:310 | Info  | **************************************************
09:05:38:314 | Info  | Comunicação via ethernet ativada na porta 1234
09:05:38:314 | Info  | **************************************************
09:06:26:007 | Info  | Recebido via ethernet: SSH-2.0-PuTTY_Release_0.67<#13><#10>
09:06:50:742 | Info  | **************************************************
09:06:50:743 | Info  | Comunicação via ethernet desativada na porta 1234
09:06:50:744 | Info  | **************************************************
09:06:51:334 | Info  | **************************************************
09:06:51:336 | Info  | Comunicação via ethernet ativada na porta 1234
09:06:51:337 | Info  | **************************************************
09:07:19:823 | Info  | **************************************************
09:07:19:824 | Info  | Comunicação via ethernet desativada na porta 1234
09:07:19:825 | Info  | **************************************************
09:07:24:959 | Info  | **************************************************
09:07:24:960 | Info  | Comunicação via ethernet ativada na porta 22
09:07:24:961 | Info  | **************************************************
09:07:59:039 | Info  | **************************************************
09:07:59:040 | Info  | Comunicação via ethernet desativada na porta 22
09:07:59:041 | Info  | **************************************************
09:08:01:127 | Info  | **************************************************
09:08:01:129 | Info  | Comunicação via ethernet ativada na porta 23
09:08:01:129 | Info  | **************************************************
09:08:14:632 | Info  | Recebido via ethernet: l
09:08:14:854 | Info  | Recebido via ethernet: o
09:08:15:029 | Info  | Recebido via ethernet: l
09:08:15:686 | Info  | Recebido via ethernet: 9
09:08:15:813 | Info  | Recebido via ethernet: 9
09:08:16:566 | Info  | Recebido via ethernet: <#13>
09:08:27:606 | Info  | Recebido via ethernet: [B
09:08:29:253 | Info  | Recebido via ethernet: 
09:08:46:721 | Info  | Recebido via ethernet: lol
09:08:46:724 | Info  | Recebido via ethernet: 99
09:08:54:858 | Info  | Recebido via ethernet: lol9
09:08:54:861 | Info  | Recebido via ethernet: 9
09:08:56:680 | Info  | Recebido via ethernet: lol
09:08:56:683 | Info  | Recebido via ethernet: 99
09:08:57:846 | Info  | Recebido via ethernet: 
09:08:58:374 | Info  | Recebido via ethernet: 
09:08:58:726 | Info  | Recebido via ethernet: 
09:09:02:386 | Info  | Recebido via ethernet: lol
09:09:02:388 | Info  | Recebido via ethernet: 99
09:09:04:169 | Info  | Recebido via ethernet: lol9
09:09:04:171 | Info  | Recebido via ethernet: 9
09:09:09:768 | Info  | Recebido via ethernet: lol
09:09:09:769 | Info  | Recebido via ethernet: 99
09:09:09:769 | Info  | Enviado via ethernet: pepe the frog
09:09:22:415 | Info  | **************************************************
09:09:22:417 | Info  | Comunicação via ethernet desativada na porta 23
09:09:22:417 | Info  | **************************************************
